These are the results for a poplation of size 1000 who 20 times have jumped 10 generations.
For each generation, 1000 PMX operations create as many offspring as parents.
After each 1000 PMX operation, an elitist filter is applied to keep the population static and only the best solutions available. 
The sequences are printed to terminal since I'm having trouble writing them to file.
path lengths    sequences: 
  7486.31        6837019452
  7486.31        7284961350
  7486.31        9047286351
  7486.31        6394071258
  7680.49        4508162739
  7952.30        6281457093
  7952.30        4708913256
  8061.69        0581794236
  8061.69        4359017862
  8069.23        8791064532
  8128.04        4253697810
  8128.04        4706298531
  8267.25        4095876231
  8301.74        2873059416
  8366.01        5749130862
  8390.79        0362419758
  8390.79        2145968730
  8433.02        5734891062
  8433.55        0281549376
  8433.55        2387956401
  8472.37        4897136250
  8540.69        6873549102
  8603.54        1503429678
  8603.54        2137804965
  8676.44        7841269305
  8703.74        2071456983
  8717.15        7830259461
  8717.15        7236549801
  8837.33        6127053984
  8897.39        6107439258
  8939.13        5041389762
  8960.24        2631458790
  8960.24        8264139750
  8960.24        9682457310
  8965.71        3185069742
  8981.88        2731458690
  8981.88        1407365928
  9005.15        9357846021
  9016.54        6380425971
  9016.54        8279653401
  9016.54        7036189452
  9122.08        1028654379
  9242.43        9210658347
  9255.10        8791064532
  9257.06        8657234901
  9261.00        2456810739
  9277.60        1407593628
  9290.64        6837210459
  9290.64        1280934576
  9294.00        2537469810
  9328.77        8960713452
  9361.09        0432618975
  9379.31        2651738409
  9380.48        4361905728
  9386.43        9456028731
  9407.91        8951263470
  9419.78        3250176894
  9444.98        3189407625
  9460.13        2971658403
  9483.29        2479631058
  9497.44        2631458709
  9501.97        9143250768
  9508.42        5108627943
  9508.42        4708263915
  9516.60        8032176954
  9516.60        6103485729
  9553.34        2687159043
  9553.34        0345271896
  9593.64        4257361098
  9594.72        3491068572
  9634.99        3147269580
  9634.99        9137820654
  9655.28        4087319652
  9665.86        2851903764
  9670.67        8253079641
  9675.61        9610723458
  9684.16        3942186075
  9712.87        5183097462
  9735.36        3021798564
  9735.36        2516739804
  9735.36        3692784501
  9735.36        4621879053
  9739.77        2738649051
  9760.74        3457286190
  9776.00        0134869527
  9777.90        7546138209
  9810.31        2031458697
  9815.52        7832954106
  9863.32        2537496810
  9894.93        4637098125
  9902.55        0346192875
  9912.58        7834259601
  9928.12        4508723619
  9933.34        6319485072
  9940.54        2073564198
  9945.45        9354017286
  9951.50        4651729308
  9956.97        7236549801
  9959.04        0698214753
  9960.26        8246039751
  9974.48        5734891062
  9988.55        8520396174
  9991.16        0562731894
  9999.49        0271438956
  10005.17        8615427390
  10026.52        0867543192
  10026.52        8470231695
  10027.68        4189367025
  10062.81        2309658147
  10067.40        9842673150
  10077.09        5807623194
  10112.87        7236549801
  10137.28        2631458709
  10138.10        3650872194
  10156.73        3187069524
  10159.36        9806237451
  10180.86        4620357198
  10185.71        7039862154
  10196.06        6139084527
  10213.30        5418736209
  10214.52        5041869732
  10216.41        5768043192
  10218.78        0698314752
  10225.26        2056798134
  10235.30        9137425068
  10245.46        5380164972
  10246.21        6890214375
  10249.24        8419637520
  10265.18        4208391756
  10272.78        1940627538
  10277.16        4108279635
  10279.38        4107582396
  10286.26        0587629341
  10286.38        9485316270
  10303.53        0715234896
  10303.77        0835916724
  10304.37        1265380974
  10304.37        4508673291
  10305.03        0362419785
  10310.06        7021963548
  10315.57        2516739804
  10331.82        0293478615
  10338.16        6387029451
  10359.81        3582179640
  10398.15        8690273415
  10405.71        0124358967
  10413.03        9840721356
  10413.03        5362071984
  10413.03        1548627093
  10413.03        7541096238
  10418.04        6409812375
  10418.04        1456028739
  10429.47        2397018546
  10442.97        2137098645
  10443.95        2479631058
  10455.85        8245069173
  10464.58        8034917652
  10468.97        1897640532
  10469.97        9284731560
  10475.85        6127053984
  10477.97        8149256037
  10478.15        0129385476
  10478.46        0587629341
  10478.46        0382619754
  10479.07        2541368709
  10480.91        0658713924
  10502.80        5791634028
  10503.72        3257984061
  10505.75        4236017598
  10505.75        7851630249
  10507.17        1582093467
  10510.81        8251379460
  10526.33        5348617209
  10534.91        0289467153
  10537.92        5723891064
  10547.98        2871964530
  10557.74        7169254308
  10562.70        2987436051
  10585.84        5168097324
  10589.15        4397268015
  10614.24        4357926081
  10619.22        8791064253
  10624.60        5870496312
  10625.67        2301758946
  10627.61        6149732580
  10630.63        8210759346
  10631.62        4875213960
  10635.75        0421376598
  10638.20        1863297450
  10639.88        2348019567
  10640.84        0851429376
  10647.72        7812059463
  10647.72        0832619754
  10656.86        8941536720
  10658.04        4897130256
  10667.14        1458736290
  10684.40        6028917453
  10684.66        7130856942
  10684.66        9283460751
  10686.71        6873549102
  10688.43        8134069527
  10693.65        2907684531
  10711.48        6873594102
  10711.87        4395816207
  10713.92        7146398502
  10720.44        7893254160
  10722.86        6281457039
  10723.51        4863519720
  10723.79        6829037451
  10723.80        9426038751
  10723.80        5830479612
  10725.89        4086579231
  10731.57        7891253460
  10731.81        7823901546
  10734.82        6430289157
  10740.23        0271468593
  10740.48        2098764135
  10744.61        8235769104
  10745.15        5129376804
  10745.40        4189367025
  10748.52        3805421769
  10748.52        6531498270
  10751.64        2630458791
  10753.43        2801396745
  10759.10        2371649058
  10785.86        6395872140
  10788.61        2190836457
  10795.51        5084961372
  10800.75        0397281465
  10801.11        3208415679
  10801.11        6152748093
  10813.82        0734526891
  10814.44        0164937852
  10817.92        6957018432
  10819.51        2834610759
  10828.77        2365948710
  10833.14        8451209376
  10834.51        7813426950
  10838.54        5283467091
  10841.60        6357049128
  10845.37        2648913570
  10855.69        4087319652
  10857.70        4936028715
  10857.86        4620357198
  10857.86        8059243671
  10858.37        2105684937
  10866.67        2164087395
  10871.80        0734526198
  10872.76        6873549102
  10872.88        5836971042
  10872.88        2861457903
  10872.88        1438790265
  10886.54        0589127346
  10893.93        0329678541
  10898.11        8627504931
  10898.11        8654910372
  10902.21        5168097324
  10902.78        7123894065
  10904.84        7615024398
  10907.99        7615024398
  10920.73        2719658403
  10923.09        4170396285
  10929.38        4627019853
  10945.11        2630458791
  10946.14        7865043291
  10946.14        0917384562
  10949.55        9462758013
  10954.09        2580913764
  10957.46        9048721653
  10957.46        7920316854
  10958.09        6427813095
  10958.09        4963528710
  10958.09        9460137582
  10958.09        4107586392
  10962.66        8243657091
  10962.70        3247958016
  10970.94        8654037291
  10977.22        8012935764
  10982.27        5246389710
  10987.70        2345819607
  10991.26        5830479612
  10991.26        0654271893
  10994.27        4650123978
  10996.96        0724658913
  11000.66        1376294508
  11000.66        9137456820
  11000.66        8520376194
  11007.91        9245860731
  11016.40        1724093568
  11016.40        8134069527
  11019.50        4860127539
  11021.29        6394028751
  11029.97        1407593628
  11041.32        9134768205
  11049.28        4528673091
  11062.25        0234786951
  11066.17        9128753406
  11067.44        4861293507
  11068.95        8235167490
  11068.95        0751496328
  11069.09        2670489153
  11075.73        4798013562
  11078.97        2936871045
  11083.59        7815934026
  11089.06        2790865431
  11091.27        8054961372
  11100.32        0326485791
  11100.83        4639028751
  11106.42        4508639271
  11107.57        0216879354
  11110.86        6870914235
  11115.83        9360418725
  11117.74        6387029451
  11123.01        1269380754
  11124.61        9368170524
  11132.28        6897035412
  11137.79        6195842370
  11139.35        2793861405
  11139.35        8194230576
  11143.07        7548196203
  11146.67        0182459376
  11149.76        0329756814
  11161.11        8251369470
  11162.14        2651738409
  11168.06        4623891075
  11173.37        5217068493
  11174.79        0345271896
  11174.79        0271468593
  11175.31        5762431980
  11183.07        9418736250
  11183.99        6837210459
  11186.93        7129456830
  11188.54        6802359714
  11188.63        2407619853
  11188.63        4623891075
  11188.63        4950716328
  11189.86        2845639071
  11191.73        3815267940
  11203.25        4328690751
  11203.25        2805614937
  11215.81        7048269153
  11223.08        9215648073
  11224.15        8235069417
  11228.63        7195362840
  11230.21        5246389710
  11232.73        1805624937
  11234.37        6837219450
  11234.37        3246108579
  11235.98        7812059463
  11235.98        1654389207
  11237.44        4620175398
  11237.44        6837219450
  11237.44        3870194562
  11237.44        1407365928
  11241.59        0185924376
  11251.41        4236017598
  11251.41        8194230576
  11255.83        6281457093
  11263.91        2847306951
  11267.58        5723891064
  11269.75        7854293160
  11269.85        3254176890
  11271.35        5710469823
  11276.45        8274610395
  11285.34        6795038241
  11287.29        6083219457
  11292.30        6249370851
  11300.34        0421376598
  11301.51        4837256091
  11303.63        7145639028
  11308.33        5082147369
  11309.19        2190836754
  11311.73        4086795231
  11311.97        1587093462
  11316.02        0326485791
  11316.89        2348019567
  11321.59        1063257984
  11324.30        5237864910
  11325.92        3219087546
  11325.92        2397458016
  11326.55        6409137852
  11328.84        5296784301
  11331.24        7021356948
  11333.40        2138964750
  11337.82        7654921380
  11339.37        9824037156
  11339.95        1548690723
  11340.69        4158723960
  11345.93        4130256978
  11349.93        2089564137
  11349.93        9418736250
  11352.92        9846521370
  11353.29        9462758013
  11367.23        7381469502
  11367.23        8520376194
  11367.23        4708913562
  11372.19        3948160275
  11376.59        7562419380
  11377.07        9824037156
